,ID,NAME,r ankle_X,r ankle_Y,r knee_X,r knee_Y,r hip_X,r hip_Y,l hip_X,l hip_Y,l knee_X,l knee_Y,l ankle_X,l ankle_Y,pelvis_X,pelvis_Y,thorax_X,thorax_Y,upper neck_X,upper neck_Y,head top_X,head top_Y,r wrist_X,r wrist_Y,r elbow_X,r elbow_Y,r shoulder_X,r shoulder_Y,l shoulder_X,l shoulder_Y,l elbow_X,l elbow_Y,l wrist_X,l wrist_Y,Scale,Activity,Category,center_X,center_Y
73,74,002541913.jpg,366,358,363,241,335,358,245,359,291,335,354,271,290,359,282,231,285.6428,211.9453,304.3572,114.0547,441,376,384,329,337,246,226,215,196,291,215,359,2.9899030084603075,"skiing, downhill",winter activities,290.0,358.5
80,81,024929223.jpg,230,930,354,784,500,630,642,681,474,802,373,936,571,656,663,410,668.3875,427.5093,625.6125,288.4907,314,443,429,415,563,370,762,450,824,603,805,689,4.363514180107589,"skiing, downhill",winter activities,571.0,655.5
82,83,075555114.jpg,736,646,752,484,681,370,783,368,856,485,853,650,732,369,752,205,745.007,214.9901,814.993,115.0099,601,306,600,265,673,195,831,215,889,294,966,353,3.661239134500777,"skiing, downhill",winter activities,732.0,369.0
92,93,089255900.jpg,247,328,255,282,280,220,316,232,293,275,287,336,298,226,314,166,317.5527,158.6104,335.4473,121.3896,255,230,252,185,284,156,344,176,353,215,346,246,1.2389673119174691,"skiing, downhill",winter activities,298.0,226.0
123,124,023956189.jpg,914,759,957,617,911,472,803,477,832,662,839,831,857,475,865,306,877.2612,268.8143,913.7388,158.1857,1019,381,974,403,892,309,837,302,906,420,979,489,3.494617575644007,hacky sack,sports,857.0,474.5
124,125,014489487.jpg,534,458,666,564,847,434,895,480,880,694,847,872,871,457,933,252,895.2306,277.899,1005.7694,202.101,724,422,760,309,859,258,1006,246,1116,232,1222,217,4.020913329083331,hacky sack,sports,871.0,457.0
125,126,048945276.jpg,644,491,625,388,605,270,672,277,675,376,645,353,639,274,614,177,603.1943,165.0482,558.8057,115.9518,578,227,594,248,582,187,645,167,691,215,622,238,1.9856283640198131,hacky sack,sports,638.5,273.5
126,127,098565045.jpg,606,398,608,360,623,304,661,301,644,420,659,497,642,303,639,219,638.1435,217.5814,607.8565,167.4186,675,283,645,248,622,223,655,215,684,291,623,311,1.757907847414079,hacky sack,sports,642.0,302.5
127,128,067213555.jpg,631,409,549,344,638,315,652,326,622,445,631,549,645,321,634,196,625.0,180.0,589.0,112.0,753,301,727,237,671,187,597,204,568,257,555,223,2.2831557108528537,hacky sack,sports,645.0,320.5
128,129,023763754.jpg,1248,676,1240,596,1239,490,1210,497,1189,583,1168,676,1225,494,1231,397,1229.058,386.5616,1216.942,321.4384,1223,513,1239,471,1240,391,1221,402,1216,471,1189,522,1.987223188270508,hacky sack,sports,1224.5,493.5
130,131,032078006.jpg,342,389,335,314,304,245,310,245,330,308,292,354,307,245,325,168,333.2928,157.257,360.7072,121.743,265,259,282,215,305,163,345,172,366,196,391,197,1.3459271897097551,hacky sack,sports,307.0,245.0
132,133,004077514.jpg,175,259,96,174,136,187,180,196,174,323,188,412,158,192,154,101,155.0,97.0,183.0,28.0,59,192,65,144,110,94,192,104,219,153,248,191,2.2128208241970246,hacky sack,sports,158.0,191.5
208,209,054264463.jpg,333,392,339,351,351,316,376,316,378,359,376,400,364,316,369,270,371.4284,264.7385,384.5716,236.2615,328,216,325,243,347,260,390,280,389,304,369,322,0.9409101976278076,basketball,sports,363.5,316.0
209,210,028654125.jpg,512,531,508,461,542,418,588,411,612,469,645,497,565,415,530,359,525.379,351.7967,500.621,313.2033,469,406,496,406,500,362,559,356,571,402,504,406,1.3755580685670816,basketball,sports,565.0,414.5
353,354,069816171.jpg,236,354,307,310,302,214,321,222,357,286,349,358,312,218,390,183,389.2792,183.2446,446.7208,163.7554,441,253,418,238,410,185,370,180,356,240,387,264,1.8197318483776663,track and field,sports,311.5,218.0
354,355,053609637.jpg,1134,968,1107,744,984,625,1044,628,957,788,803,870,1014,627,1027,381,1028.0,377.0,1081.0,252.0,905,528,881,452,944,383,1110,379,1143,455,1113,504,4.042557606268585,track and field,sports,1014.0,626.5
366,367,098727613.jpg,262,764,538,541,677,94,869,57,975,724,655,829,773,76,1127,403,1143.3473,458.917,1217.6527,713.083,969,1068,935,798,935,404,1319,401,1372,755,1428,1056,7.944145013782162,track and field,sports,773.0,75.5
367,368,015041689.jpg,455,876,457,806,432,738,458,732,469,801,406,804,445,735,437,663,438.0,655.0,450.0,606.0,394,726,385,701,411,668,462,658,458,690,469,708,1.4812103159241092,track and field,sports,445.0,735.0
568,569,015524025.jpg,518,270,518,210,454,198,396,219,427,228,409,279,425,209,453,128,446.4531,142.4032,474.5469,80.5968,-1,-1,508,183,499,140,407,115,-1,-1,-1,-1,2.036750352890604,"skiing, downhill",winter activities,425.0,208.5
569,570,018192813.jpg,720,143,720,116,714,137,694,135,686,123,687,143,704,136,706,104,705.6811,106.3915,710.3189,71.6085,725,140,729,122,719,105,693,103,679,124,683,140,1.0527221855741429,"skiing, downhill",winter activities,704.0,136.0
570,571,086178562.jpg,465,550,409,358,233,341,126,351,263,326,272,497,180,346,293,184,280.8135,191.3432,383.1865,129.6568,446,300,402,356,351,200,235,168,244,300,367,270,3.5856514052540027,"skiing, downhill",winter activities,179.5,346.0
573,574,027074467.jpg,1043,218,1045,164,1079,130,1052,131,1014,156,1000,207,1066,131,1029,68,1031.7754,70.3129,1002.2246,45.6871,1021,121,1035,104,1044,58,1014,77,997,120,984,113,1.1539982668964457,"skiing, downhill",winter activities,1065.5,130.5
